Fecha,Turno,Línea,Unidades_Producidas,Unidades_Defectuosas,Tiempo_Paro,Operador
2024-01-28,Tarde,L2,1017,51,43,OP05
2024-01-28,Tarde,L3,974,32,12,OP12
2024-01-28,Tarde,L4,869,69,35,OP03
2024-01-28,Noche,L1,1020,78,2,OP06
2024-01-28,Noche,L2,1097,32,29,OP11
2024-01-28,Noche,L3,954,35,50,OP08
2024-01-28,Noche,L4,986,49,47,OP10
2024-01-29,Mañana,L1,883,18,47,OP06
2024-01-29,Mañana,L2,817,61,14,OP08
2024-01-29,Mañana,L3,1059,27,8,OP03
2024-01-29,Mañana,L4,801,19,4,OP04
2024-01-29,Tarde,L1,1021,11,9,OP05
2024-01-29,Tarde,L2,1077,50,31,OP04
2024-01-29,Tarde,L3,833,15,17,OP08
2024-01-29,Tarde,L4,1004,62,0,OP08
2024-01-29,Noche,L1,874,44,15,OP08
2024-01-29,Noche,L2,1177,24,1,OP07
2024-01-29,Noche,L3,953,37,2,OP02
2024-01-29,Noche,L4,979,18,55,OP12
2024-01-30,Mañana,L1,1155,50,30,OP08
2024-01-30,Mañana,L2,888,47,32,OP06
2024-01-30,Mañana,L3,1087,35,27,OP07
2024-01-30,Mañana,L4,851,41,30,OP06
2024-01-30,Tarde,L1,1139,50,29,OP02
2024-01-30,Tarde,L2,861,33,18,OP08
2024-01-30,Tarde,L3,1157,22,11,OP10
2024-01-30,Tarde,L4,995,63,47,OP03
2024-01-30,Noche,L1,802,26,3,OP06
2024-01-30,Noche,L2,962,43,16,OP03
2024-01-30,Noche,L3,1006,42,10,OP11
2024-01-30,Noche,L4,1047,16,48,OP10
2024-01-31,Mañana,L1,816,35,10,OP09
2024-01-31,Mañana,L2,1023,60,49,OP12
2024-01-31,Mañana,L3,1016,31,45,OP09
2024-01-31,Mañana,L4,1172,38,57,OP02
2024-01-31,Tarde,L1,1062,34,49,OP06
2024-01-31,Tarde,L2,941,23,48,OP06
2024-01-31,Tarde,L3,1166,55,34,OP08
2024-01-31,Tarde,L4,808,28,57,OP09
2024-01-31,Noche,L1,1101,29,5,OP09
2024-01-31,Noche,L2,936,69,0,OP06
2024-01-31,Noche,L3,805,21,2,OP07
2024-01-31,Noche,L4,854,65,0,OP02
2024-02-01,Mañana,L1,1019,17,59,OP04
2024-02-01,Mañana,L2,817,29,23,OP04
2024-02-01,Mañana,L3,1191,59,8,OP03
2024-02-01,Mañana,L4,1082,16,41,OP02
2024-02-01,Tarde,L1,1080,33,0,OP01
2024-02-01,Tarde,L2,1195,67,35,OP12
2024-02-01,Tarde,L3,1159,39,18,OP03
2024-02-01,Tarde,L4,1143,29,45,OP02
2024-02-01,Noche,L1,1163,76,1,OP08
2024-02-01,Noche,L2,847,35,54,OP10
2024-02-01,Noche,L3,1080,45,59,OP09
2024-02-01,Noche,L4,936,69,37,OP08
2024-02-02,Mañana,L1,1179,83,57,OP05
2024-02-02,Mañana,L2,1190,49,7,OP11
2024-02-02,Mañana,L3,1054,46,6,OP01
2024-02-02,Mañana,L4,856,39,56,OP12
2024-02-02,Tarde,L1,851,32,59,OP06
2024-02-02,Tarde,L2,1015,80,1,OP09
2024-02-02,Tarde,L3,1167,81,56,OP02
2024-02-02,Tarde,L4,1058,18,45,OP10
2024-02-02,Noche,L1,1086,56,18,OP05
2024-02-02,Noche,L2,815,15,36,OP01
2024-02-02,Noche,L3,979,56,4,OP12
2024-02-02,Noche,L4,1129,79,45,OP05
2024-02-03,Mañana,L1,994,70,50,OP07
2024-02-03,Mañana,L2,1037,68,19,OP04
2024-02-03,Mañana,L3,1148,69,42,OP11
2024-02-03,Mañana,L4,998,44,3,OP10
2024-02-03,Tarde,L1,1000,16,13,OP02
2024-02-03,Tarde,L2,858,24,59,OP07
2024-02-03,Tarde,L3,1144,26,24,OP06
2024-02-03,Tarde,L4,1043,47,17,OP09
2024-02-03,Noche,L1,806,10,18,OP06
2024-02-03,Noche,L2,1099,64,3,OP08
2024-02-03,Noche,L3,1105,46,9,OP01
2024-02-03,Noche,L4,1118,73,41,OP01
2024-02-04,Mañana,L1,1088,15,11,OP10
2024-02-04,Mañana,L2,878,8,50,OP10
2024-02-04,Mañana,L3,1158,12,21,OP04
2024-02-04,Mañana,L4,975,24,12,OP11
2024-02-04,Tarde,L1,875,31,9,OP05
2024-02-04,Tarde,L2,956,69,41,OP01
2024-02-04,Tarde,L3,1125,74,17,OP02
2024-02-04,Tarde,L4,849,20,36,OP07
2024-02-04,Noche,L1,1181,24,22,OP05
2024-02-04,Noche,L2,803,43,47,OP12
2024-02-04,Noche,L3,937,26,35,OP09
2024-02-04,Noche,L4,810,50,59,OP02
2024-02-05,Mañana,L1,1194,63,23,OP09
2024-02-05,Mañana,L2,863,64,28,OP06
2024-02-05,Mañana,L3,1103,52,23,OP05
2024-02-05,Mañana,L4,1199,89,17,OP04
2024-02-05,Tarde,L1,803,12,57,OP04
2024-02-05,Tarde,L2,1009,21,28,OP11
2024-02-05,Tarde,L3,975,46,31,OP02
2024-02-05,Tarde,L4,1187,45,42,OP12
2024-02-05,Noche,L1,1094,45,46,OP05
2024-02-05,Noche,L2,1060,31,25,OP02
2024-02-05,Noche,L3,1111,12,19,OP07
2024-02-05,Noche,L4,1162,24,7,OP10
2024-02-06,Mañana,L1,849,16,2,OP01
2024-02-06,Mañana,L2,895,63,8,OP10
2024-02-06,Mañana,L3,1083,32,45,OP01
2024-02-06,Mañana,L4,1199,26,56,OP10
2024-02-06,Tarde,L1,1141,68,6,OP05
2024-02-06,Tarde,L2,918,22,36,OP04
2024-02-06,Tarde,L3,874,17,33,OP10
2024-02-06,Tarde,L4,946,64,29,OP02
2024-02-06,Noche,L1,843,53,2,OP02
2024-02-06,Noche,L2,1181,42,0,OP07
2024-02-06,Noche,L3,811,49,57,OP03
2024-02-06,Noche,L4,935,18,33,OP04
2024-02-07,Mañana,L1,1183,19,12,OP09
2024-02-07,Mañana,L2,1042,28,37,OP08
2024-02-07,Mañana,L3,1190,28,39,OP01
2024-02-07,Mañana,L4,1138,11,26,OP02
2024-02-07,Tarde,L1,1140,39,22,OP07
2024-02-07,Tarde,L2,897,14,49,OP04
2024-02-07,Tarde,L3,847,25,0,OP01
2024-02-07,Tarde,L4,1194,14,32,OP01
2024-02-07,Noche,L1,1025,67,37,OP07
2024-02-07,Noche,L2,1156,90,14,OP03
2024-02-07,Noche,L3,1189,24,42,OP09
2024-02-07,Noche,L4,829,23,58,OP07
2024-02-08,Mañana,L1,1112,28,38,OP05
2024-02-08,Mañana,L2,829,65,26,OP09
2024-02-08,Mañana,L3,818,17,3,OP11
2024-02-08,Mañana,L4,908,47,42,OP12
2024-02-08,Tarde,L1,901,52,43,OP09
2024-02-08,Tarde,L2,855,42,48,OP06
2024-02-08,Tarde,L3,1075,16,46,OP05
2024-02-08,Tarde,L4,1166,41,6,OP07
2024-02-08,Noche,L1,1110,23,51,OP12
2024-02-08,Noche,L2,1185,29,3,OP07
2024-02-08,Noche,L3,806,43,30,OP05
2024-02-08,Noche,L4,993,22,58,OP07
2024-02-09,Mañana,L1,903,69,32,OP11
2024-02-09,Mañana,L2,918,66,21,OP07
2024-02-09,Mañana,L3,971,65,25,OP02
2024-02-09,Mañana,L4,1027,71,49,OP10
2024-02-09,Tarde,L1,865,44,34,OP07
2024-02-09,Tarde,L2,858,37,49,OP03
2024-02-09,Tarde,L3,810,52,49,OP11
2024-02-09,Tarde,L4,1176,92,7,OP06
2024-02-09,Noche,L1,1171,23,25,OP11
2024-02-09,Noche,L2,1040,78,0,OP08
2024-02-09,Noche,L3,926,72,39,OP02
2024-02-09,Noche,L4,1193,77,59,OP06
2024-02-10,Mañana,L1,820,15,15,OP05
2024-02-10,Mañana,L2,1177,49,36,OP07
2024-02-10,Mañana,L3,1084,62,44,OP07
2024-02-10,Mañana,L4,836,40,27,OP09
2024-02-10,Tarde,L1,1087,81,26,OP06
2024-02-10,Tarde,L2,882,14,51,OP10
2024-02-10,Tarde,L3,956,65,27,OP02
2024-02-10,Tarde,L4,1103,28,52,OP03
2024-02-10,Noche,L1,978,70,40,OP10
2024-02-10,Noche,L2,938,36,18,OP04
2024-02-10,Noche,L3,1036,66,13,OP05
2024-02-10,Noche,L4,810,9,53,OP11
2024-02-11,Mañana,L1,1013,78,59,OP07
2024-02-11,Mañana,L2,1018,37,49,OP02
2024-02-11,Mañana,L3,846,14,59,OP12
2024-02-11,Mañana,L4,1024,42,10,OP08
2024-02-11,Tarde,L1,987,64,5,OP10
2024-02-11,Tarde,L2,1005,24,8,OP05
2024-02-11,Tarde,L3,851,33,27,OP11
2024-02-11,Tarde,L4,992,40,3,OP12
2024-02-11,Noche,L1,871,24,21,OP07
2024-02-11,Noche,L2,824,47,17,OP12
2024-02-11,Noche,L3,859,16,42,OP09
2024-02-11,Noche,L4,982,68,45,OP04
2024-02-12,Mañana,L1,875,44,45,OP04
2024-02-12,Mañana,L2,911,22,7,OP07
2024-02-12,Mañana,L3,838,53,35,OP07
2024-02-12,Mañana,L4,918,55,42,OP11
2024-02-12,Tarde,L1,1115,65,50,OP04
2024-02-12,Tarde,L2,921,25,21,OP10
2024-02-12,Tarde,L3,979,65,10,OP05
2024-02-12,Tarde,L4,1095,50,6,OP09
2024-02-12,Noche,L1,1145,47,13,OP09
2024-02-12,Noche,L2,1006,42,36,OP05
2024-02-12,Noche,L3,939,26,51,OP10
2024-02-12,Noche,L4,1185,57,23,OP01
2024-02-13,Mañana,L1,967,57,58,OP11
2024-02-13,Mañana,L2,1190,51,59,OP01
2024-02-13,Mañana,L3,1082,74,32,OP04
2024-02-13,Mañana,L4,1151,34,43,OP03
2024-02-13,Tarde,L1,930,12,54,OP09
2024-02-13,Tarde,L2,1046,27,7,OP08
2024-02-13,Tarde,L3,941,20,38,OP04
2024-02-13,Tarde,L4,1142,47,7,OP03
2024-02-13,Noche,L1,855,49,57,OP11
2024-02-13,Noche,L2,896,61,46,OP09
2024-02-13,Noche,L3,1089,52,20,OP10
2024-02-13,Noche,L4,946,37,58,OP09
2024-02-14,Mañana,L1,827,65,10,OP11
2024-02-14,Mañana,L2,1166,41,42,OP01
2024-02-14,Mañana,L3,905,61,17,OP09
2024-02-14,Mañana,L4,852,23,32,OP01
2024-02-14,Tarde,L1,1040,38,32,OP01
2024-02-14,Tarde,L2,907,48,7,OP05
2024-02-14,Tarde,L3,977,14,14,OP04
2024-02-14,Tarde,L4,833,36,38,OP12
2024-02-14,Noche,L1,901,32,32,OP11
2024-02-14,Noche,L2,955,53,18,OP06
2024-02-14,Noche,L3,936,70,28,OP11
2024-02-14,Noche,L4,1177,93,18,OP12
2024-02-15,Mañana,L1,1172,34,10,OP01
2024-02-15,Mañana,L2,892,53,47,OP03
2024-02-15,Mañana,L3,844,58,49,OP07
2024-02-15,Mañana,L4,1052,51,35,OP06
2024-02-15,Tarde,L1,1072,29,17,OP02
2024-02-15,Tarde,L2,1174,64,36,OP03
2024-02-15,Tarde,L3,1195,75,26,OP05
2024-02-15,Tarde,L4,898,30,55,OP08
2024-02-15,Noche,L1,1160,59,33,OP07
2024-02-15,Noche,L2,1135,75,46,OP05
2024-02-15,Noche,L3,1012,48,46,OP08
2024-02-15,Noche,L4,1015,11,47,OP10
