ID_Tarea,Fecha,Proyecto,Tarea,Asignado_A,Estado,Prioridad,Horas_Estimadas,Horas_Reales
TASK-0056,2024-01-30,Sistema CRM,Desarrollo - Tarea 56,Dev4,En Revisión,Crítica,24,24
TASK-0057,2024-03-24,Dashboard Analytics,Diseño - Tarea 57,Dev2,En Progreso,Media,5,4
TASK-0058,2024-01-16,API REST,Testing - Tarea 58,Dev2,Por Hacer,Baja,38,48
TASK-0059,2024-02-29,Sistema CRM,Documentación - Tarea 59,Dev5,Completada,Crítica,20,24
TASK-0060,2024-02-16,App Móvil,Diseño - Tarea 60,Dev3,En Revisión,Media,39,35
TASK-0061,2024-02-16,App Móvil,Desarrollo - Tarea 61,Dev3,Completada,Alta,36,45
TASK-0062,2024-02-01,Dashboard Analytics,Desarrollo - Tarea 62,Dev4,Completada,Media,27,25
TASK-0063,2024-03-01,API REST,Documentación - Tarea 63,Dev2,En Progreso,Media,14,18
TASK-0064,2024-02-26,Sistema CRM,Testing - Tarea 64,Dev4,Completada,Alta,36,39
TASK-0065,2024-01-21,Sistema CRM,Documentación - Tarea 65,Dev4,Por Hacer,Media,39,41
TASK-0066,2024-01-30,Sistema CRM,Testing - Tarea 66,Dev5,En Revisión,Alta,9,11
TASK-0067,2024-03-24,Sistema CRM,Desarrollo - Tarea 67,Dev1,Completada,Baja,35,37
TASK-0068,2024-03-12,API REST,Diseño - Tarea 68,Dev3,En Progreso,Baja,20,19
TASK-0069,2024-01-14,API REST,Desarrollo - Tarea 69,Dev1,Completada,Baja,23,24
TASK-0070,2024-01-01,Sistema CRM,Testing - Tarea 70,Dev2,Completada,Baja,5,4
TASK-0071,2024-02-17,App Móvil,Desarrollo - Tarea 71,Dev2,En Revisión,Baja,9,9
TASK-0072,2024-01-02,API REST,Testing - Tarea 72,Dev5,En Revisión,Crítica,7,8
TASK-0073,2024-02-09,Dashboard Analytics,Documentación - Tarea 73,Dev3,En Progreso,Media,32,39
TASK-0074,2024-02-03,Sistema CRM,Documentación - Tarea 74,Dev5,Completada,Baja,5,3
TASK-0075,2024-01-23,App Móvil,Documentación - Tarea 75,Dev3,En Revisión,Alta,29,22
TASK-0076,2024-01-20,App Móvil,Documentación - Tarea 76,Dev4,En Revisión,Media,20,17
TASK-0077,2024-01-10,App Móvil,Documentación - Tarea 77,Dev4,Completada,Media,13,11
TASK-0078,2024-02-17,App Móvil,Documentación - Tarea 78,Dev1,En Progreso,Media,18,16
TASK-0079,2024-01-21,Sistema CRM,Diseño - Tarea 79,Dev3,Por Hacer,Alta,23,19
TASK-0080,2024-03-05,App Móvil,Desarrollo - Tarea 80,Dev1,Por Hacer,Crítica,29,20
TASK-0081,2024-03-15,Dashboard Analytics,Bug Fix - Tarea 81,Dev3,Por Hacer,Media,22,26
TASK-0082,2024-02-05,API REST,Bug Fix - Tarea 82,Dev3,Completada,Baja,25,24
TASK-0083,2024-03-13,API REST,Desarrollo - Tarea 83,Dev2,Completada,Media,9,9
TASK-0084,2024-03-17,Dashboard Analytics,Desarrollo - Tarea 84,Dev2,En Progreso,Alta,24,20
TASK-0085,2024-03-03,Dashboard Analytics,Diseño - Tarea 85,Dev3,En Revisión,Alta,15,12
TASK-0086,2024-01-01,API REST,Bug Fix - Tarea 86,Dev2,Completada,Alta,39,48
TASK-0087,2024-02-26,Sistema CRM,Diseño - Tarea 87,Dev4,Completada,Alta,25,17
TASK-0088,2024-03-08,App Móvil,Diseño - Tarea 88,Dev1,Completada,Baja,15,17
TASK-0089,2024-03-22,API REST,Documentación - Tarea 89,Dev5,En Progreso,Media,22,23
TASK-0090,2024-01-03,App Móvil,Documentación - Tarea 90,Dev2,Por Hacer,Media,18,19
TASK-0091,2024-03-20,API REST,Testing - Tarea 91,Dev2,Completada,Baja,26,32
TASK-0092,2024-02-28,App Móvil,Desarrollo - Tarea 92,Dev3,En Progreso,Media,24,18
TASK-0093,2024-02-11,API REST,Documentación - Tarea 93,Dev5,Completada,Media,34,41
TASK-0094,2024-03-07,API REST,Documentación - Tarea 94,Dev4,Por Hacer,Baja,23,18
TASK-0095,2024-03-04,Sistema CRM,Bug Fix - Tarea 95,Dev2,Completada,Media,11,10
TASK-0096,2024-03-07,Dashboard Analytics,Documentación - Tarea 96,Dev2,En Revisión,Media,11,11
TASK-0097,2024-01-03,Sistema CRM,Diseño - Tarea 97,Dev4,En Progreso,Media,12,12
TASK-0098,2024-02-28,Dashboard Analytics,Desarrollo - Tarea 98,Dev5,Completada,Alta,24,26
TASK-0099,2024-01-19,Sistema CRM,Diseño - Tarea 99,Dev4,En Progreso,Media,9,7
TASK-0100,2024-03-18,Sistema CRM,Testing - Tarea 100,Dev1,En Progreso,Media,19,20
TASK-0101,2024-02-09,Sistema CRM,Bug Fix - Tarea 101,Dev1,En Revisión,Media,15,17
TASK-0102,2024-02-04,API REST,Testing - Tarea 102,Dev5,En Revisión,Media,12,14
TASK-0103,2024-01-28,Dashboard Analytics,Bug Fix - Tarea 103,Dev4,Por Hacer,Alta,19,19
TASK-0104,2024-02-11,API REST,Desarrollo - Tarea 104,Dev5,En Progreso,Media,21,25
TASK-0105,2024-02-22,App Móvil,Desarrollo - Tarea 105,Dev3,Por Hacer,Media,15,15
TASK-0106,2024-03-03,Dashboard Analytics,Diseño - Tarea 106,Dev1,En Progreso,Crítica,18,14
TASK-0107,2024-01-08,API REST,Desarrollo - Tarea 107,Dev2,En Progreso,Media,23,18
TASK-0108,2024-01-19,Dashboard Analytics,Bug Fix - Tarea 108,Dev5,Completada,Media,9,6
TASK-0109,2024-02-22,Sistema CRM,Diseño - Tarea 109,Dev3,Por Hacer,Media,29,21
TASK-0110,2024-01-28,API REST,Documentación - Tarea 110,Dev5,En Progreso,Media,29,21
TASK-0111,2024-03-05,Sistema CRM,Testing - Tarea 111,Dev1,En Revisión,Alta,13,13
TASK-0112,2024-01-20,Sistema CRM,Diseño - Tarea 112,Dev3,Por Hacer,Alta,14,13
TASK-0113,2024-01-02,App Móvil,Desarrollo - Tarea 113,Dev4,En Revisión,Media,21,20
TASK-0114,2024-01-06,Sistema CRM,Testing - Tarea 114,Dev3,En Revisión,Alta,25,29
TASK-0115,2024-03-09,App Móvil,Diseño - Tarea 115,Dev4,En Revisión,Baja,11,11
TASK-0116,2024-02-15,API REST,Testing - Tarea 116,Dev5,Completada,Alta,7,4
TASK-0117,2024-01-29,Sistema CRM,Testing - Tarea 117,Dev5,Por Hacer,Crítica,11,9
TASK-0118,2024-01-22,API REST,Testing - Tarea 118,Dev1,Por Hacer,Alta,24,31
TASK-0119,2024-02-03,App Móvil,Diseño - Tarea 119,Dev1,Completada,Media,11,11
TASK-0120,2024-01-16,Dashboard Analytics,Diseño - Tarea 120,Dev1,Completada,Alta,8,9
TASK-0121,2024-02-09,App Móvil,Bug Fix - Tarea 121,Dev4,En Revisión,Baja,6,5
TASK-0122,2024-03-11,Dashboard Analytics,Diseño - Tarea 122,Dev5,Por Hacer,Media,37,36
TASK-0123,2024-01-15,API REST,Desarrollo - Tarea 123,Dev5,En Progreso,Media,31,26
TASK-0124,2024-01-15,Dashboard Analytics,Documentación - Tarea 124,Dev2,Por Hacer,Media,9,9
TASK-0125,2024-02-14,App Móvil,Bug Fix - Tarea 125,Dev2,Completada,Baja,33,24
TASK-0126,2024-02-15,Sistema CRM,Testing - Tarea 126,Dev2,En Revisión,Crítica,28,19
TASK-0127,2024-02-15,Sistema CRM,Documentación - Tarea 127,Dev2,En Progreso,Media,37,36
TASK-0128,2024-01-06,App Móvil,Diseño - Tarea 128,Dev1,Completada,Baja,9,8
TASK-0129,2024-03-17,App Móvil,Diseño - Tarea 129,Dev5,En Revisión,Media,14,12
TASK-0130,2024-03-12,API REST,Testing - Tarea 130,Dev3,En Revisión,Alta,39,35
TASK-0131,2024-01-10,Sistema CRM,Testing - Tarea 131,Dev2,En Progreso,Baja,24,29
TASK-0132,2024-03-12,App Móvil,Diseño - Tarea 132,Dev2,En Revisión,Media,6,6
TASK-0133,2024-02-19,Dashboard Analytics,Diseño - Tarea 133,Dev2,En Revisión,Media,20,24
TASK-0134,2024-01-19,App Móvil,Testing - Tarea 134,Dev4,En Progreso,Media,24,19
TASK-0135,2024-02-13,App Móvil,Testing - Tarea 135,Dev1,En Revisión,Crítica,23,18
TASK-0136,2024-01-30,Dashboard Analytics,Bug Fix - Tarea 136,Dev5,En Progreso,Media,22,16
TASK-0137,2024-01-31,Sistema CRM,Diseño - Tarea 137,Dev4,Por Hacer,Media,24,24
TASK-0138,2024-02-24,Dashboard Analytics,Bug Fix - Tarea 138,Dev2,Completada,Alta,27,31
TASK-0139,2024-01-19,Dashboard Analytics,Documentación - Tarea 139,Dev4,Completada,Media,22,23
TASK-0140,2024-02-13,API REST,Testing - Tarea 140,Dev2,Completada,Baja,11,9
TASK-0141,2024-01-27,App Móvil,Documentación - Tarea 141,Dev1,Completada,Baja,8,6
TASK-0142,2024-02-04,Sistema CRM,Documentación - Tarea 142,Dev5,En Progreso,Baja,11,11
TASK-0143,2024-01-06,Dashboard Analytics,Testing - Tarea 143,Dev3,En Progreso,Alta,7,6
TASK-0144,2024-02-04,Sistema CRM,Testing - Tarea 144,Dev2,En Revisión,Baja,36,45
TASK-0145,2024-01-24,API REST,Documentación - Tarea 145,Dev3,Completada,Media,25,23
TASK-0146,2024-03-04,App Móvil,Diseño - Tarea 146,Dev2,En Progreso,Crítica,9,10
TASK-0147,2024-02-13,API REST,Testing - Tarea 147,Dev1,Por Hacer,Media,29,35
TASK-0148,2024-02-05,Sistema CRM,Documentación - Tarea 148,Dev4,En Revisión,Media,25,21
TASK-0149,2024-03-16,Sistema CRM,Diseño - Tarea 149,Dev3,En Progreso,Baja,28,32
TASK-0150,2024-02-13,App Móvil,Testing - Tarea 150,Dev3,En Revisión,Alta,11,11
TASK-0151,2024-03-06,Sistema CRM,Desarrollo - Tarea 151,Dev2,Completada,Crítica,19,21
TASK-0152,2024-02-23,Sistema CRM,Diseño - Tarea 152,Dev2,Por Hacer,Media,18,15
TASK-0153,2024-03-24,Dashboard Analytics,Documentación - Tarea 153,Dev1,Completada,Baja,15,17
TASK-0154,2024-02-14,Dashboard Analytics,Testing - Tarea 154,Dev4,En Revisión,Media,8,8
TASK-0155,2024-01-02,App Móvil,Documentación - Tarea 155,Dev1,Por Hacer,Media,7,7
TASK-0156,2024-03-11,Dashboard Analytics,Testing - Tarea 156,Dev1,Completada,Alta,7,5
TASK-0157,2024-01-24,Dashboard Analytics,Documentación - Tarea 157,Dev4,En Revisión,Baja,10,8
TASK-0158,2024-01-06,Sistema CRM,Documentación - Tarea 158,Dev5,En Progreso,Baja,5,5
TASK-0159,2024-02-29,API REST,Bug Fix - Tarea 159,Dev5,Por Hacer,Baja,34,33
TASK-0160,2024-02-26,App Móvil,Desarrollo - Tarea 160,Dev1,En Progreso,Media,23,28
TASK-0161,2024-02-26,API REST,Testing - Tarea 161,Dev1,En Progreso,Media,18,16
TASK-0162,2024-02-14,App Móvil,Desarrollo - Tarea 162,Dev5,Completada,Alta,8,7
TASK-0163,2024-02-23,Sistema CRM,Desarrollo - Tarea 163,Dev2,Completada,Alta,22,18
TASK-0164,2024-03-03,API REST,Testing - Tarea 164,Dev2,Por Hacer,Crítica,8,10
TASK-0165,2024-01-21,Sistema CRM,Diseño - Tarea 165,Dev3,Por Hacer,Crítica,21,22
TASK-0166,2024-03-07,API REST,Desarrollo - Tarea 166,Dev2,Completada,Alta,20,15
TASK-0167,2024-01-09,Dashboard Analytics,Desarrollo - Tarea 167,Dev3,Por Hacer,Alta,39,31
TASK-0168,2024-01-20,Dashboard Analytics,Diseño - Tarea 168,Dev3,Por Hacer,Media,11,7
TASK-0169,2024-01-27,API REST,Testing - Tarea 169,Dev3,Por Hacer,Baja,15,14
TASK-0170,2024-02-16,Dashboard Analytics,Desarrollo - Tarea 170,Dev4,En Progreso,Media,31,25
TASK-0171,2024-02-15,Sistema CRM,Diseño - Tarea 171,Dev1,Por Hacer,Alta,33,38
TASK-0172,2024-01-13,Dashboard Analytics,Desarrollo - Tarea 172,Dev2,En Progreso,Media,31,26
TASK-0173,2024-01-15,Sistema CRM,Testing - Tarea 173,Dev5,En Progreso,Alta,12,12
TASK-0174,2024-02-10,Dashboard Analytics,Bug Fix - Tarea 174,Dev1,Completada,Media,35,42
TASK-0175,2024-01-25,Dashboard Analytics,Testing - Tarea 175,Dev3,En Progreso,Baja,4,4
TASK-0176,2024-03-24,Sistema CRM,Documentación - Tarea 176,Dev5,Completada,Media,29,21
TASK-0177,2024-01-03,App Móvil,Bug Fix - Tarea 177,Dev1,En Revisión,Alta,11,10
TASK-0178,2024-02-29,Sistema CRM,Testing - Tarea 178,Dev1,Completada,Alta,8,6
TASK-0179,2024-02-24,API REST,Bug Fix - Tarea 179,Dev3,En Progreso,Media,19,19
TASK-0180,2024-01-24,Dashboard Analytics,Documentación - Tarea 180,Dev4,Por Hacer,Media,18,22
TASK-0181,2024-03-20,Sistema CRM,Desarrollo - Tarea 181,Dev3,Completada,Baja,5,4
TASK-0182,2024-01-08,API REST,Testing - Tarea 182,Dev4,En Revisión,Baja,13,14
TASK-0183,2024-03-04,Sistema CRM,Bug Fix - Tarea 183,Dev3,Completada,Alta,5,3
TASK-0184,2024-03-14,Sistema CRM,Desarrollo - Tarea 184,Dev2,En Progreso,Alta,7,6
TASK-0185,2024-02-16,Dashboard Analytics,Diseño - Tarea 185,Dev2,En Progreso,Baja,24,19
TASK-0186,2024-01-13,Sistema CRM,Desarrollo - Tarea 186,Dev2,En Progreso,Media,21,14
TASK-0187,2024-03-01,App Móvil,Diseño - Tarea 187,Dev2,Completada,Media,5,4
TASK-0188,2024-01-17,API REST,Documentación - Tarea 188,Dev2,En Progreso,Baja,37,31
TASK-0189,2024-02-11,API REST,Testing - Tarea 189,Dev1,En Revisión,Baja,13,10
TASK-0190,2024-02-17,Dashboard Analytics,Desarrollo - Tarea 190,Dev1,Por Hacer,Alta,37,37
TASK-0191,2024-03-09,Dashboard Analytics,Bug Fix - Tarea 191,Dev5,Completada,Baja,22,26
TASK-0192,2024-02-06,Dashboard Analytics,Diseño - Tarea 192,Dev3,En Revisión,Media,12,13
TASK-0193,2024-01-14,Dashboard Analytics,Bug Fix - Tarea 193,Dev5,Completada,Media,37,41
TASK-0194,2024-02-28,Sistema CRM,Bug Fix - Tarea 194,Dev3,En Progreso,Alta,8,8
TASK-0195,2024-01-02,Sistema CRM,Bug Fix - Tarea 195,Dev4,En Progreso,Baja,24,23
TASK-0196,2024-02-14,Sistema CRM,Bug Fix - Tarea 196,Dev4,Completada,Alta,29,26
TASK-0197,2024-03-04,Dashboard Analytics,Bug Fix - Tarea 197,Dev5,Por Hacer,Baja,29,20
TASK-0198,2024-01-10,API REST,Desarrollo - Tarea 198,Dev2,Por Hacer,Media,31,28
TASK-0199,2024-01-22,Sistema CRM,Documentación - Tarea 199,Dev1,En Revisión,Media,19,22
TASK-0200,2024-02-28,Sistema CRM,Testing - Tarea 200,Dev4,Completada,Media,29,33
