Fecha,Categoría,Descripción,Monto,Método_Pago
2024-03-06,Vivienda,Servicios,685.85,Efectivo
2024-03-08,Transporte,Transporte público,1141.04,Tarjeta
2024-03-09,Salud,Doctor,1868.34,Transferencia
2024-03-11,Vivienda,Renta,1496.05,Tarjeta
2024-03-13,Salud,Farmacia,447.08,Efectivo
2024-03-13,Vivienda,Internet,1310.05,Transferencia
2024-03-13,Salud,Farmacia,72.18,Tarjeta
2024-03-14,Otros,Varios,703.75,Transferencia
2024-03-14,Entretenimiento,Streaming,377.64,Efectivo
2024-03-16,Entretenimiento,Streaming,1746.01,Transferencia
2024-03-17,Alimentación,Supermercado,1431.48,Transferencia
2024-03-17,Salud,Gimnasio,609.97,Tarjeta
2024-03-21,Alimentación,Comida rápida,1407.5,Transferencia
2024-03-21,Transporte,Transporte público,1642.41,Efectivo
2024-03-23,Transporte,Gasolina,1851.66,Transferencia
2024-03-24,Salud,Gimnasio,921.01,Efectivo
2024-03-24,Entretenimiento,Cine,963.63,Tarjeta
2024-03-25,Otros,Varios,1446.89,Transferencia
2024-03-26,Entretenimiento,Concierto,1092.62,Tarjeta
2024-03-27,Entretenimiento,Concierto,637.67,Tarjeta
2024-03-27,Transporte,Transporte público,349.35,Transferencia
2024-03-28,Transporte,Gasolina,1907.79,Transferencia
2024-03-28,Transporte,Gasolina,1217.95,Transferencia
2024-03-29,Salud,Farmacia,286.28,Transferencia
2024-03-29,Transporte,Gasolina,951.19,Efectivo
2024-03-29,Entretenimiento,Cine,322.48,Transferencia
2024-03-29,Alimentación,Comida rápida,253.2,Transferencia
2024-03-30,Entretenimiento,Streaming,1321.67,Efectivo
2024-04-01,Transporte,Transporte público,1337.89,Tarjeta
2024-04-02,Salud,Doctor,1481.83,Transferencia
2024-04-03,Otros,Varios,964.67,Tarjeta
2024-04-04,Vivienda,Internet,1854.61,Efectivo
2024-04-05,Vivienda,Renta,1142.88,Efectivo
2024-04-09,Alimentación,Comida rápida,847.97,Transferencia
2024-04-09,Transporte,Gasolina,478.3,Efectivo
2024-04-10,Vivienda,Renta,822.25,Transferencia
2024-04-12,Alimentación,Supermercado,1688.38,Tarjeta
2024-04-12,Transporte,Uber,1956.67,Transferencia
2024-04-16,Vivienda,Renta,732.31,Transferencia
2024-04-16,Alimentación,Comida rápida,441.68,Efectivo
2024-04-17,Transporte,Transporte público,690.01,Transferencia
2024-04-18,Salud,Gimnasio,780.83,Transferencia
2024-04-20,Entretenimiento,Concierto,992.86,Efectivo
2024-04-20,Transporte,Transporte público,217.67,Transferencia
2024-04-22,Otros,Varios,676.14,Efectivo
2024-04-22,Transporte,Uber,1090.84,Tarjeta
2024-04-22,Vivienda,Renta,1519.16,Efectivo
2024-04-23,Salud,Farmacia,1146.0,Efectivo
2024-04-25,Alimentación,Restaurante,688.66,Efectivo
2024-04-27,Alimentación,Restaurante,1178.9,Tarjeta
2024-04-30,Alimentación,Comida rápida,149.58,Efectivo
2024-05-02,Otros,Ropa,1485.38,Tarjeta
2024-05-03,Entretenimiento,Concierto,1735.21,Efectivo
2024-05-03,Alimentación,Restaurante,1095.93,Transferencia
2024-05-04,Entretenimiento,Concierto,829.17,Tarjeta
2024-05-04,Entretenimiento,Concierto,1167.27,Efectivo
2024-05-05,Vivienda,Renta,1683.89,Tarjeta
2024-05-05,Entretenimiento,Cine,1401.96,Efectivo
2024-05-05,Transporte,Uber,1792.56,Transferencia
2024-05-05,Transporte,Uber,1492.15,Transferencia
2024-05-06,Vivienda,Internet,630.91,Efectivo
2024-05-08,Vivienda,Internet,910.56,Tarjeta
2024-05-08,Alimentación,Restaurante,1305.05,Tarjeta
2024-05-10,Alimentación,Supermercado,1916.59,Transferencia
2024-05-11,Entretenimiento,Cine,913.57,Tarjeta
2024-05-12,Salud,Farmacia,1420.32,Transferencia
2024-05-12,Vivienda,Servicios,855.25,Tarjeta
2024-05-12,Otros,Varios,225.86,Tarjeta
2024-05-14,Vivienda,Renta,1115.07,Tarjeta
2024-05-14,Alimentación,Supermercado,1790.9,Tarjeta
2024-05-16,Otros,Ropa,738.3,Efectivo
2024-05-17,Otros,Varios,1664.58,Tarjeta
2024-05-19,Entretenimiento,Concierto,411.23,Tarjeta
2024-05-20,Otros,Ropa,440.2,Tarjeta
2024-05-22,Transporte,Gasolina,1523.46,Transferencia
2024-05-27,Transporte,Transporte público,1760.26,Tarjeta
2024-05-28,Vivienda,Renta,990.13,Efectivo
2024-05-29,Transporte,Gasolina,617.62,Efectivo
2024-05-31,Transporte,Transporte público,477.66,Transferencia
2024-05-31,Transporte,Uber,891.21,Tarjeta
2024-05-31,Salud,Gimnasio,91.31,Transferencia
2024-06-03,Salud,Gimnasio,1142.0,Efectivo
2024-06-03,Vivienda,Internet,481.81,Efectivo
2024-06-04,Transporte,Uber,1147.88,Tarjeta
2024-06-04,Salud,Gimnasio,653.99,Tarjeta
2024-06-04,Entretenimiento,Cine,1143.0,Efectivo
2024-06-06,Alimentación,Comida rápida,1719.17,Tarjeta
2024-06-08,Entretenimiento,Concierto,636.0,Efectivo
2024-06-09,Alimentación,Restaurante,251.78,Efectivo
2024-06-09,Vivienda,Internet,1449.65,Efectivo
2024-06-11,Otros,Varios,1648.0,Transferencia
2024-06-12,Transporte,Transporte público,833.83,Tarjeta
2024-06-12,Otros,Regalos,1761.48,Transferencia
2024-06-13,Transporte,Uber,1527.35,Transferencia
2024-06-13,Salud,Farmacia,360.25,Tarjeta
2024-06-15,Entretenimiento,Cine,1142.9,Tarjeta
2024-06-15,Vivienda,Servicios,624.15,Tarjeta
2024-06-15,Transporte,Uber,575.71,Tarjeta
2024-06-15,Salud,Farmacia,67.43,Efectivo
2024-06-16,Entretenimiento,Cine,59.59,Tarjeta
2024-06-18,Entretenimiento,Concierto,1105.9,Efectivo
2024-06-22,Transporte,Gasolina,95.31,Tarjeta
2024-06-23,Transporte,Uber,800.84,Efectivo
2024-06-24,Salud,Gimnasio,1251.87,Tarjeta
2024-06-24,Otros,Varios,198.63,Efectivo
2024-06-24,Transporte,Transporte público,1596.5,Tarjeta
2024-06-25,Entretenimiento,Concierto,1940.82,Efectivo
2024-06-28,Alimentación,Restaurante,183.2,Efectivo
2024-06-28,Entretenimiento,Streaming,807.38,Efectivo
