Fecha,Temperatura_Max,Temperatura_Min,Humedad,Precipitación,Velocidad_Viento
2024-03-07,16.5,8.4,78.0,0.0,3.7
2024-03-08,29.5,21.8,56.0,0.0,23.8
2024-03-09,31.5,22.8,66.0,9.3,10.2
2024-03-10,19.8,11.2,58.0,0.0,28.4
2024-03-11,24.5,15.5,51.0,3.2,4.0
2024-03-12,31.6,24.5,67.0,0.0,28.2
2024-03-13,20.4,13.2,67.0,0.0,22.8
2024-03-14,26.3,16.0,56.0,2.4,20.5
2024-03-15,24.0,12.4,87.0,0.0,19.3
2024-03-16,28.8,23.5,54.0,7.8,16.1
2024-03-17,27.4,20.5,89.0,0.0,11.0
2024-03-18,31.9,21.9,42.0,0.0,0.4
2024-03-19,32.5,25.4,48.0,11.0,2.4
2024-03-20,25.4,11.9,69.0,2.5,27.4
2024-03-21,16.1,7.7,56.0,0.0,3.1
2024-03-22,22.6,10.5,75.0,0.0,28.7
2024-03-23,26.7,21.1,46.0,0.0,10.9
2024-03-24,21.6,11.0,76.0,0.0,3.5
2024-03-25,27.7,14.3,76.0,0.0,29.0
2024-03-26,19.7,12.3,53.0,0.0,28.9
2024-03-27,26.5,16.4,71.0,9.3,9.0
2024-03-28,29.8,21.2,87.0,0.0,1.9
2024-03-29,23.0,11.8,86.0,0.0,12.7
2024-03-30,16.0,5.9,33.0,0.0,17.3
2024-03-31,29.8,20.6,38.0,0.0,22.3
2024-04-01,24.0,13.6,77.0,0.0,7.5
2024-04-02,25.8,14.8,43.0,0.0,23.8
2024-04-03,16.6,8.3,87.0,0.0,10.0
2024-04-04,26.4,20.3,47.0,0.0,27.2
2024-04-05,22.6,13.2,87.0,0.0,6.8
2024-04-06,34.4,24.4,62.0,0.0,7.1
2024-04-07,21.3,14.7,73.0,0.0,14.0
2024-04-08,22.6,9.2,81.0,0.0,20.9
2024-04-09,16.1,7.9,38.0,17.7,29.7
2024-04-10,26.0,12.7,82.0,0.0,7.5
2024-04-11,21.4,10.6,41.0,0.0,21.3
2024-04-12,27.9,22.1,60.0,0.0,7.0
2024-04-13,20.6,14.1,84.0,3.3,25.8
2024-04-14,32.3,22.6,66.0,10.1,20.3
2024-04-15,23.9,13.2,80.0,0.0,21.7
2024-04-16,19.3,10.3,48.0,0.0,16.8
2024-04-17,23.3,15.6,36.0,0.0,16.5
2024-04-18,20.4,9.6,72.0,0.0,19.6
2024-04-19,17.3,7.4,58.0,0.0,11.3
2024-04-20,18.7,12.5,48.0,0.0,20.7
2024-04-21,20.5,9.2,71.0,0.0,19.6
2024-04-22,18.1,3.2,55.0,0.0,19.8
2024-04-23,33.8,20.9,72.0,0.0,12.0
2024-04-24,19.1,13.7,62.0,0.0,11.8
2024-04-25,28.8,19.6,79.0,0.0,16.8
2024-04-26,27.1,18.1,58.0,18.3,4.5
2024-04-27,33.9,26.5,47.0,0.0,15.9
2024-04-28,21.3,13.6,33.0,0.0,6.2
2024-04-29,22.4,11.1,89.0,0.0,11.7
2024-04-30,25.4,16.8,43.0,0.0,0.1
2024-05-01,17.4,2.8,64.0,13.2,1.3
2024-05-02,20.4,8.5,57.0,0.0,11.8
2024-05-03,25.5,11.9,81.0,5.8,4.1
2024-05-04,33.9,19.8,79.0,10.3,6.0
2024-05-05,19.1,9.2,52.0,0.0,22.6
2024-05-06,25.3,19.6,88.0,0.0,26.7
2024-05-07,27.2,21.0,85.0,0.0,9.9
2024-05-08,15.2,8.8,72.0,19.6,1.4
2024-05-09,28.8,16.8,40.0,0.0,3.4
2024-05-10,23.1,8.8,60.0,12.0,4.4
2024-05-11,21.0,12.6,84.0,0.0,22.8
2024-05-12,29.3,20.2,55.0,0.0,22.4
2024-05-13,24.7,13.7,71.0,14.6,15.1
2024-05-14,24.5,15.1,65.0,0.0,9.1
2024-05-15,24.9,18.9,56.0,14.2,27.0
2024-05-16,16.4,3.7,37.0,13.4,8.2
2024-05-17,26.0,14.6,65.0,9.7,21.6
2024-05-18,29.8,18.3,50.0,0.0,6.9
2024-05-19,34.0,26.1,33.0,18.8,5.6
2024-05-20,33.7,23.9,38.0,2.2,12.0
2024-05-21,34.0,28.6,42.0,3.5,24.3
2024-05-22,26.4,11.5,85.0,0.0,21.5
2024-05-23,15.0,8.1,50.0,0.0,6.5
2024-05-24,23.9,10.9,39.0,0.0,13.7
2024-05-25,15.9,6.3,88.0,0.0,25.3
2024-05-26,18.7,12.0,90.0,0.0,9.6
2024-05-27,34.4,24.6,83.0,4.7,12.2
2024-05-28,27.4,21.8,89.0,0.0,25.8
2024-05-29,24.8,13.9,58.0,0.0,21.7
2024-05-30,29.3,20.0,57.0,0.0,12.9
2024-05-31,17.6,4.3,67.0,10.3,5.0
2024-06-01,32.5,22.6,45.0,0.0,12.2
2024-06-02,26.8,18.3,79.0,12.9,9.6
2024-06-03,15.9,1.2,36.0,7.4,13.4
2024-06-04,23.7,13.5,47.0,16.4,6.4
2024-06-05,21.2,14.0,58.0,6.5,3.6
2024-06-06,24.9,15.4,84.0,14.6,0.9
2024-06-07,30.7,16.5,64.0,0.0,2.7
2024-06-08,32.8,20.3,74.0,12.7,29.5
2024-06-09,30.4,20.1,66.0,0.0,17.5
2024-06-10,29.1,22.5,52.0,0.0,1.0
2024-06-11,31.1,18.7,72.0,0.0,18.5
2024-06-12,22.7,12.0,37.0,5.2,24.8
2024-06-13,33.4,24.8,52.0,0.0,16.2
2024-06-14,29.0,23.4,60.0,0.0,4.8
2024-06-15,18.5,8.3,52.0,0.0,26.4
2024-06-16,17.7,12.1,89.0,1.5,18.5
2024-06-17,24.1,15.8,84.0,0.0,10.8
2024-06-18,15.1,2.7,40.0,0.0,13.8
2024-06-19,21.7,9.3,62.0,10.4,25.2
2024-06-20,32.4,25.9,41.0,14.9,17.9
2024-06-21,22.0,9.3,58.0,0.0,7.7
2024-06-22,26.8,13.6,77.0,19.1,10.5
2024-06-23,19.4,13.9,76.0,14.5,2.2
2024-06-24,34.2,25.9,85.0,0.0,11.7
2024-06-25,32.5,17.8,61.0,0.0,6.7
2024-06-26,21.4,9.2,63.0,0.0,19.4
2024-06-27,26.8,13.2,34.0,0.0,29.1
2024-06-28,30.0,19.0,34.0,0.0,27.9
2024-06-29,18.5,6.1,83.0,0.0,24.4
2024-06-30,15.9,6.7,67.0,0.0,19.8
2024-07-01,35.0,21.7,61.0,0.0,27.3
2024-07-02,28.9,18.3,70.0,7.3,24.2
2024-07-03,16.1,6.1,79.0,2.4,21.0
2024-07-04,31.3,16.4,74.0,0.0,18.9
2024-07-05,26.6,20.4,37.0,0.0,7.1
2024-07-06,19.3,10.6,74.0,7.8,25.4
2024-07-07,26.9,13.0,82.0,0.0,8.5
2024-07-08,33.1,28.0,49.0,8.7,7.9
2024-07-09,16.4,7.6,43.0,0.0,14.6
2024-07-10,28.4,16.2,49.0,8.1,22.3
2024-07-11,26.4,13.4,61.0,0.0,16.2
2024-07-12,25.5,13.0,83.0,0.0,25.2
2024-07-13,28.8,19.3,79.0,0.0,11.1
2024-07-14,30.2,21.5,58.0,0.0,19.9
2024-07-15,20.6,9.1,64.0,0.0,25.6
2024-07-16,23.7,16.1,53.0,8.4,4.6
2024-07-17,34.2,20.6,81.0,0.0,18.5
2024-07-18,23.9,11.6,57.0,9.5,22.8
2024-07-19,20.2,7.0,67.0,0.0,25.2
2024-07-20,25.5,14.2,65.0,0.0,17.1
2024-07-21,18.7,7.3,79.0,0.0,6.4
2024-07-22,24.2,12.2,61.0,0.0,15.8
2024-07-23,28.6,18.7,68.0,0.0,26.9
2024-07-24,19.1,9.5,70.0,0.0,4.2
2024-07-25,28.3,16.8,81.0,0.0,3.9
2024-07-26,17.1,6.2,42.0,0.0,9.7
2024-07-27,22.0,7.6,47.0,0.0,25.5
2024-07-28,33.1,21.7,61.0,19.5,20.9
2024-07-29,28.4,23.1,60.0,0.0,8.0
2024-07-30,31.7,22.8,65.0,7.3,16.9
2024-07-31,18.7,8.6,53.0,2.8,26.4
2024-08-01,35.0,20.6,85.0,0.0,10.7
2024-08-02,25.8,11.7,50.0,0.0,16.2
2024-08-03,28.4,15.9,88.0,3.2,7.0
2024-08-04,22.0,9.8,56.0,0.0,2.3
2024-08-05,17.0,4.1,39.0,0.0,20.8
2024-08-06,22.1,14.8,35.0,0.0,10.0
2024-08-07,19.5,10.8,44.0,16.8,28.6
2024-08-08,17.2,6.1,62.0,7.0,1.5
2024-08-09,20.3,13.3,57.0,0.0,19.8
2024-08-10,31.1,17.9,63.0,0.0,1.7
2024-08-11,18.0,11.7,71.0,0.0,24.4
2024-08-12,31.1,24.7,70.0,0.0,18.3
2024-08-13,26.0,14.0,81.0,19.6,15.7
2024-08-14,26.6,20.0,87.0,0.0,26.1
2024-08-15,29.9,24.0,74.0,0.0,17.0
2024-08-16,27.5,19.4,53.0,0.0,17.0
2024-08-17,29.2,18.7,76.0,0.0,6.1
2024-08-18,34.2,23.2,39.0,0.0,2.3
2024-08-19,17.7,6.8,57.0,0.0,23.4
2024-08-20,15.3,4.5,32.0,0.0,2.1
2024-08-21,17.3,6.0,33.0,0.0,29.3
2024-08-22,18.1,13.1,81.0,18.1,2.6
2024-08-23,23.3,13.2,69.0,0.0,24.4
2024-08-24,19.1,11.9,55.0,0.0,12.9
2024-08-25,21.3,7.9,57.0,0.0,20.6
2024-08-26,21.3,13.6,84.0,0.0,25.5
2024-08-27,27.9,20.6,52.0,10.9,11.3
2024-08-28,34.0,23.4,69.0,0.0,8.2
2024-08-29,32.1,23.9,63.0,0.0,20.7
2024-08-30,29.7,16.4,66.0,0.0,13.0
2024-08-31,18.5,5.8,48.0,19.0,19.1
2024-09-01,24.4,10.8,80.0,0.0,15.4
2024-09-02,18.4,12.5,65.0,0.0,17.8
2024-09-03,16.5,5.5,63.0,6.2,6.0
2024-09-04,34.7,25.3,41.0,0.0,22.7
2024-09-05,25.1,15.1,75.0,0.0,8.6
2024-09-06,16.1,3.9,44.0,0.0,1.4
2024-09-07,34.3,26.5,39.0,0.0,7.8
2024-09-08,21.7,9.9,82.0,0.0,18.9
2024-09-09,26.1,19.8,86.0,0.0,26.0
2024-09-10,31.9,24.6,66.0,0.0,27.6
2024-09-11,15.7,8.9,42.0,0.0,16.3
2024-09-12,23.4,14.1,78.0,14.1,17.9
2024-09-13,15.3,2.7,71.0,16.5,2.3
2024-09-14,33.6,23.1,35.0,0.0,11.1
2024-09-15,30.1,18.5,72.0,0.0,29.9
2024-09-16,33.7,21.7,46.0,3.3,10.0
2024-09-17,23.9,16.9,36.0,0.0,21.1
2024-09-18,23.5,15.0,34.0,0.0,14.6
2024-09-19,33.6,26.7,60.0,0.0,15.7
2024-09-20,29.9,20.3,69.0,17.3,9.7
2024-09-21,34.5,21.0,77.0,0.0,22.3
2024-09-22,29.2,17.4,76.0,0.0,18.4
2024-09-23,34.5,20.6,85.0,3.9,3.4
2024-09-24,23.0,11.5,45.0,0.0,3.4
2024-09-25,32.3,19.7,87.0,0.0,29.6
2024-09-26,15.3,10.2,56.0,0.0,10.0
2024-09-27,33.7,19.5,64.0,17.4,26.8
2024-09-28,19.9,7.6,77.0,14.2,1.7
2024-09-29,22.1,16.8,46.0,14.9,4.6
2024-09-30,29.4,15.6,57.0,0.0,29.7
2024-10-01,32.7,26.8,61.0,0.0,16.5
2024-10-02,25.6,18.6,58.0,0.0,18.8
2024-10-03,29.9,17.0,50.0,0.0,17.3
2024-10-04,30.6,17.0,59.0,2.0,19.1
2024-10-05,24.8,17.3,76.0,0.0,17.7
2024-10-06,20.5,15.2,39.0,0.0,20.8
2024-10-07,29.4,19.4,89.0,9.0,16.1
2024-10-08,27.0,13.2,71.0,19.8,10.8
2024-10-09,34.9,23.6,39.0,0.0,8.1
2024-10-10,24.6,15.9,88.0,0.0,10.4
2024-10-11,19.6,14.4,32.0,10.0,6.2
2024-10-12,26.7,13.3,61.0,0.0,17.9
2024-10-13,26.9,12.9,56.0,0.0,25.1
2024-10-14,21.0,12.5,62.0,19.1,26.1
2024-10-15,31.7,20.0,37.0,0.0,7.7
2024-10-16,20.7,8.1,33.0,0.0,23.8
2024-10-17,27.8,16.8,39.0,7.4,22.5
2024-10-18,22.7,17.1,50.0,9.9,12.3
2024-10-19,26.2,18.0,60.0,0.0,4.0
2024-10-20,16.7,5.4,35.0,0.0,29.0
2024-10-21,28.8,14.1,39.0,0.0,3.0
2024-10-22,30.0,24.9,61.0,13.3,23.3
2024-10-23,25.6,14.9,72.0,0.0,28.6
2024-10-24,15.5,3.7,53.0,9.0,14.1
2024-10-25,27.7,19.0,71.0,14.6,26.8
2024-10-26,23.8,16.0,60.0,0.0,9.7
2024-10-27,21.1,15.4,89.0,0.0,28.3
2024-10-28,19.5,12.5,73.0,0.0,7.8
2024-10-29,19.0,12.1,74.0,0.0,2.1
2024-10-30,34.2,21.4,31.0,0.0,8.1
2024-10-31,27.5,14.0,52.0,7.2,28.4
2024-11-01,21.9,15.0,62.0,0.0,10.6
2024-11-02,19.4,7.3,81.0,0.0,20.5
2024-11-03,34.8,21.4,74.0,0.0,2.3
2024-11-04,33.2,26.0,34.0,7.1,10.3
2024-11-05,30.3,22.8,54.0,1.2,22.3
2024-11-06,30.5,20.4,61.0,0.0,0.1
2024-11-07,20.3,7.5,55.0,0.0,5.6
2024-11-08,32.1,23.2,51.0,0.0,10.3
2024-11-09,22.0,14.9,31.0,0.0,17.8
2024-11-10,20.1,10.6,41.0,0.0,11.1
2024-11-11,15.1,4.2,59.0,17.8,13.2
2024-11-12,31.0,24.7,34.0,0.0,10.0
2024-11-13,23.2,9.5,78.0,6.5,18.1
2024-11-14,24.8,11.8,62.0,0.0,22.1
2024-11-15,32.7,24.2,66.0,0.0,6.9
2024-11-16,33.0,18.5,36.0,3.1,28.0
2024-11-17,28.0,19.0,55.0,0.0,18.9
2024-11-18,27.9,22.7,35.0,9.3,16.1
2024-11-19,26.5,16.9,73.0,0.0,15.3
2024-11-20,31.6,19.2,64.0,0.0,19.2
2024-11-21,34.7,21.2,30.0,0.0,3.6
2024-11-22,31.1,16.1,53.0,19.8,14.1
2024-11-23,27.5,19.6,37.0,1.5,18.7
2024-11-24,24.1,12.6,85.0,1.4,19.4
2024-11-25,31.5,26.3,70.0,10.8,16.5
2024-11-26,28.6,14.8,72.0,0.0,13.0
2024-11-27,26.3,15.4,31.0,0.0,29.3
2024-11-28,30.2,24.4,73.0,0.0,25.9
2024-11-29,28.5,18.3,35.0,0.0,17.7
2024-11-30,15.6,9.7,73.0,0.0,7.7
2024-12-01,22.6,15.5,55.0,0.0,27.3
2024-12-02,16.7,3.3,90.0,19.6,3.6
2024-12-03,34.5,26.4,76.0,0.0,6.1
2024-12-04,21.2,6.8,83.0,0.0,0.9
2024-12-05,16.8,2.0,58.0,0.0,18.5
2024-12-06,18.6,12.5,87.0,0.0,10.5
2024-12-07,34.9,26.1,58.0,0.0,16.7
2024-12-08,17.0,4.0,56.0,7.1,26.0
2024-12-09,32.0,25.4,87.0,2.3,9.1
2024-12-10,34.9,23.3,48.0,6.7,22.3
2024-12-11,25.0,15.8,53.0,0.0,15.5
2024-12-12,24.2,15.5,81.0,0.0,5.3
2024-12-13,29.3,19.1,83.0,3.3,17.3
2024-12-14,29.4,23.2,83.0,6.2,11.2
2024-12-15,32.1,26.3,42.0,0.0,15.8
2024-12-16,26.6,20.0,47.0,0.0,22.2
2024-12-17,31.2,21.2,86.0,0.0,10.8
2024-12-18,32.7,20.6,60.0,19.2,17.7
2024-12-19,17.1,6.4,76.0,0.0,4.0
2024-12-20,27.7,13.7,44.0,1.0,16.4
2024-12-21,27.9,14.3,62.0,19.3,7.8
2024-12-22,15.8,1.8,64.0,6.1,5.2
2024-12-23,28.8,21.1,64.0,0.0,8.0
2024-12-24,31.4,19.5,32.0,0.0,22.5
2024-12-25,25.6,17.0,85.0,0.0,12.3
2024-12-26,16.3,8.9,64.0,13.7,22.3
2024-12-27,20.0,8.0,87.0,0.0,6.3
2024-12-28,25.0,15.9,50.0,0.0,25.9
2024-12-29,17.3,10.9,49.0,1.6,28.0
2024-12-30,28.0,13.4,88.0,0.0,6.3
