Código,Producto,Categoría,Stock,Precio,Proveedor
PROD0034,Producto 34,Oficina,48,363.38,Proveedor A
PROD0035,Producto 35,Juguetes,60,280.06,Proveedor A
PROD0036,Producto 36,Oficina,91,258.94,Proveedor B
PROD0037,Producto 37,Juguetes,60,201.62,Proveedor A
PROD0038,Producto 38,Juguetes,61,473.0,Proveedor C
PROD0039,Producto 39,Hogar,63,24.11,Proveedor C
PROD0040,Producto 40,Electrónica,30,99.98,Proveedor A
PROD0041,Producto 41,Electrónica,58,215.87,Proveedor C
PROD0042,Producto 42,Electrónica,45,317.16,Proveedor C
PROD0043,Producto 43,Electrónica,99,33.67,Proveedor A
PROD0044,Producto 44,Deportes,85,116.72,Proveedor A
PROD0045,Producto 45,Hogar,25,134.06,Proveedor B
PROD0046,Producto 46,Hogar,49,374.72,Proveedor A
PROD0047,Producto 47,Oficina,3,225.16,Proveedor A
PROD0048,Producto 48,Oficina,60,460.89,Proveedor A
PROD0049,Producto 49,Hogar,4,350.66,Proveedor A
PROD0050,Producto 50,Juguetes,93,369.87,Proveedor C
PROD0051,Producto 51,Juguetes,56,382.8,Proveedor C
PROD0052,Producto 52,Juguetes,62,123.7,Proveedor B
PROD0053,Producto 53,Deportes,38,339.48,Proveedor A
PROD0054,Producto 54,Juguetes,47,83.96,Proveedor B
PROD0055,Producto 55,Juguetes,68,312.8,Proveedor C
PROD0056,Producto 56,Oficina,93,56.17,Proveedor C
PROD0057,Producto 57,Juguetes,54,477.98,Proveedor A
PROD0058,Producto 58,Oficina,53,283.02,Proveedor B
PROD0059,Producto 59,Oficina,2,138.95,Proveedor B
PROD0060,Producto 60,Electrónica,30,341.41,Proveedor A
PROD0061,Producto 61,Juguetes,25,40.8,Proveedor C
PROD0062,Producto 62,Oficina,34,353.17,Proveedor B
PROD0063,Producto 63,Oficina,59,371.99,Proveedor B
PROD0064,Producto 64,Hogar,8,272.66,Proveedor C
PROD0065,Producto 65,Juguetes,21,81.14,Proveedor C
PROD0066,Producto 66,Electrónica,67,376.07,Proveedor A
PROD0067,Producto 67,Juguetes,70,436.87,Proveedor B
PROD0068,Producto 68,Oficina,50,79.61,Proveedor C
PROD0069,Producto 69,Electrónica,11,452.31,Proveedor A
PROD0070,Producto 70,Deportes,8,187.38,Proveedor A
PROD0071,Producto 71,Deportes,25,256.43,Proveedor A
PROD0072,Producto 72,Electrónica,93,473.62,Proveedor C
PROD0073,Producto 73,Electrónica,29,78.76,Proveedor C
PROD0074,Producto 74,Deportes,72,148.67,Proveedor C
PROD0075,Producto 75,Deportes,17,54.83,Proveedor A
PROD0076,Producto 76,Oficina,7,323.33,Proveedor A
PROD0077,Producto 77,Electrónica,50,312.87,Proveedor C
PROD0078,Producto 78,Hogar,49,377.24,Proveedor B
PROD0079,Producto 79,Deportes,76,169.77,Proveedor B
PROD0080,Producto 80,Hogar,8,499.42,Proveedor A
PROD0081,Producto 81,Oficina,69,415.86,Proveedor C
PROD0082,Producto 82,Juguetes,63,205.23,Proveedor C
PROD0083,Producto 83,Deportes,29,202.38,Proveedor C
PROD0084,Producto 84,Electrónica,1,119.87,Proveedor A
PROD0085,Producto 85,Deportes,47,447.11,Proveedor B
PROD0086,Producto 86,Hogar,51,41.39,Proveedor A
PROD0087,Producto 87,Electrónica,0,427.51,Proveedor B
PROD0088,Producto 88,Deportes,3,425.63,Proveedor A
PROD0089,Producto 89,Hogar,77,301.77,Proveedor C
PROD0090,Producto 90,Electrónica,76,270.94,Proveedor A
PROD0091,Producto 91,Oficina,47,325.31,Proveedor A
PROD0092,Producto 92,Hogar,63,346.98,Proveedor B
PROD0093,Producto 93,Juguetes,39,456.91,Proveedor C
PROD0094,Producto 94,Electrónica,30,256.73,Proveedor B
PROD0095,Producto 95,Oficina,36,488.29,Proveedor C
PROD0096,Producto 96,Hogar,60,361.29,Proveedor A
PROD0097,Producto 97,Hogar,85,470.56,Proveedor A
PROD0098,Producto 98,Electrónica,2,460.23,Proveedor B
PROD0099,Producto 99,Oficina,49,415.67,Proveedor C
PROD0100,Producto 100,Oficina,91,484.44,Proveedor A
PROD0101,Producto 101,Juguetes,4,268.91,Proveedor B
PROD0102,Producto 102,Deportes,39,94.93,Proveedor A
PROD0103,Producto 103,Hogar,76,31.98,Proveedor C
PROD0104,Producto 104,Deportes,47,304.42,Proveedor B
PROD0105,Producto 105,Hogar,83,319.98,Proveedor B
PROD0106,Producto 106,Hogar,22,426.1,Proveedor C
PROD0107,Producto 107,Deportes,62,380.09,Proveedor C
PROD0108,Producto 108,Juguetes,36,220.21,Proveedor C
PROD0109,Producto 109,Electrónica,52,139.16,Proveedor C
PROD0110,Producto 110,Juguetes,15,312.59,Proveedor A
PROD0111,Producto 111,Deportes,2,158.05,Proveedor A
PROD0112,Producto 112,Deportes,11,47.92,Proveedor B
PROD0113,Producto 113,Oficina,36,37.27,Proveedor B
PROD0114,Producto 114,Juguetes,73,22.13,Proveedor B
PROD0115,Producto 115,Juguetes,36,445.69,Proveedor C
PROD0116,Producto 116,Deportes,24,149.71,Proveedor C
PROD0117,Producto 117,Juguetes,59,441.08,Proveedor B
PROD0118,Producto 118,Hogar,89,155.08,Proveedor B
PROD0119,Producto 119,Juguetes,87,395.76,Proveedor B
PROD0120,Producto 120,Juguetes,61,266.72,Proveedor C
PROD0121,Producto 121,Electrónica,83,280.62,Proveedor C
PROD0122,Producto 122,Electrónica,34,439.91,Proveedor C
PROD0123,Producto 123,Juguetes,92,67.47,Proveedor B
PROD0124,Producto 124,Oficina,25,36.15,Proveedor A
PROD0125,Producto 125,Deportes,48,61.67,Proveedor C
PROD0126,Producto 126,Deportes,92,230.04,Proveedor A
PROD0127,Producto 127,Electrónica,61,346.17,Proveedor C
PROD0128,Producto 128,Oficina,93,362.79,Proveedor C
PROD0129,Producto 129,Hogar,25,273.11,Proveedor B
PROD0130,Producto 130,Electrónica,9,471.57,Proveedor B
PROD0131,Producto 131,Hogar,95,183.64,Proveedor C
PROD0132,Producto 132,Juguetes,86,442.39,Proveedor C
PROD0133,Producto 133,Deportes,88,19.38,Proveedor B
PROD0134,Producto 134,Electrónica,51,156.62,Proveedor B
PROD0135,Producto 135,Electrónica,77,35.05,Proveedor A
PROD0136,Producto 136,Juguetes,26,89.52,Proveedor A
PROD0137,Producto 137,Electrónica,48,114.97,Proveedor C
PROD0138,Producto 138,Deportes,63,410.6,Proveedor C
PROD0139,Producto 139,Deportes,72,329.69,Proveedor A
PROD0140,Producto 140,Hogar,8,412.83,Proveedor C
PROD0141,Producto 141,Electrónica,38,499.87,Proveedor A
PROD0142,Producto 142,Electrónica,34,410.98,Proveedor B
PROD0143,Producto 143,Hogar,87,341.7,Proveedor B
PROD0144,Producto 144,Oficina,74,195.83,Proveedor A
PROD0145,Producto 145,Electrónica,12,292.43,Proveedor C
PROD0146,Producto 146,Electrónica,9,458.92,Proveedor A
PROD0147,Producto 147,Juguetes,61,304.51,Proveedor A
PROD0148,Producto 148,Hogar,86,53.66,Proveedor C
PROD0149,Producto 149,Deportes,96,425.21,Proveedor B
PROD0150,Producto 150,Oficina,44,368.44,Proveedor C
