Fecha,Hora,Página,Visitantes,Sesiones,Tiempo_Promedio_Seg,Tasa_Rebote_Porcentaje
2024-03-01,17:03,/galeria,413,459,558,25.7
2024-03-01,18:47,/galeria,364,113,461,36.3
2024-03-01,19:03,/testimonios,315,554,84,39.9
2024-03-02,03:58,/galeria,67,440,420,45.1
2024-03-02,11:59,/blog,405,576,551,26.0
2024-03-02,15:18,/precios,176,169,147,68.7
2024-03-02,21:42,/blog,402,28,295,42.1
2024-03-03,04:02,/contacto,454,381,561,49.0
2024-03-03,11:56,/precios,218,299,578,72.2
2024-03-03,13:46,/testimonios,166,450,206,73.8
2024-03-03,16:02,/home,484,535,266,60.6
2024-03-03,16:24,/servicios,131,111,93,78.4
2024-03-04,06:39,/galeria,392,534,401,63.2
2024-03-04,14:48,/servicios,58,179,414,69.3
2024-03-05,07:32,/testimonios,368,557,158,56.2
2024-03-06,01:42,/nosotros,187,481,323,67.1
2024-03-06,11:09,/blog,139,597,419,31.2
2024-03-06,20:10,/galeria,247,254,586,44.0
2024-03-07,02:15,/productos,248,276,310,57.3
2024-03-07,05:28,/galeria,368,379,450,56.0
2024-03-07,05:44,/home,39,579,400,23.9
2024-03-07,16:10,/home,433,126,110,57.1
2024-03-07,16:56,/servicios,432,84,315,48.5
2024-03-07,18:40,/faq,440,333,221,44.0
2024-03-07,19:50,/precios,394,378,358,46.1
2024-03-07,22:00,/testimonios,244,222,245,32.4
2024-03-08,00:37,/faq,470,433,320,30.3
2024-03-08,03:02,/home,117,465,138,28.5
2024-03-08,05:11,/home,95,181,148,67.8
2024-03-08,16:25,/precios,449,323,575,60.2
2024-03-08,18:13,/galeria,332,323,119,56.6
2024-03-08,23:55,/faq,421,168,84,68.1
2024-03-09,08:16,/productos,37,394,345,38.0
2024-03-09,14:36,/blog,214,191,412,49.7
2024-03-10,03:17,/faq,187,293,481,21.0
2024-03-10,16:35,/faq,434,284,202,32.5
2024-03-10,17:33,/testimonios,201,506,230,48.6
2024-03-11,00:58,/testimonios,43,109,389,31.4
2024-03-11,05:10,/productos,329,430,196,70.2
2024-03-11,05:17,/precios,38,450,495,30.2
2024-03-11,06:23,/galeria,414,96,500,28.9
2024-03-11,16:01,/testimonios,264,395,343,60.9
2024-03-11,16:08,/contacto,307,542,467,59.0
2024-03-11,17:30,/testimonios,136,19,59,45.6
2024-03-11,20:39,/blog,89,382,394,55.7
2024-03-12,01:36,/productos,161,184,161,66.7
2024-03-12,20:36,/faq,170,314,591,68.4
2024-03-12,21:31,/precios,380,241,116,42.2
2024-03-13,10:41,/precios,449,335,414,24.0
2024-03-13,12:43,/nosotros,304,556,468,24.8
2024-03-13,17:08,/productos,473,306,323,47.3
2024-03-14,04:17,/productos,426,243,563,38.8
2024-03-15,00:14,/nosotros,51,379,229,70.7
2024-03-15,05:05,/blog,435,397,521,68.8
2024-03-15,06:22,/productos,47,498,559,71.6
2024-03-16,15:40,/precios,31,203,290,42.0
2024-03-17,04:51,/faq,25,378,52,49.5
2024-03-17,12:56,/blog,323,379,97,47.3
2024-03-17,18:14,/contacto,260,545,176,33.8
2024-03-17,23:11,/precios,226,504,121,39.6
2024-03-18,06:44,/precios,47,420,550,31.0
2024-03-18,20:17,/servicios,402,365,280,52.8
2024-03-18,20:43,/testimonios,209,150,247,37.3
2024-03-18,22:30,/faq,394,233,144,38.7
2024-03-20,06:00,/home,91,172,570,68.3
2024-03-21,00:34,/productos,11,483,130,25.7
2024-03-21,10:31,/precios,87,97,442,32.7
2024-03-21,19:51,/testimonios,442,241,487,73.0
2024-03-21,23:35,/precios,297,252,199,48.6
2024-03-22,07:02,/galeria,194,288,395,37.9
2024-03-22,10:44,/contacto,113,283,575,77.1
2024-03-22,17:15,/servicios,331,487,505,28.2
2024-03-22,22:07,/home,80,30,129,76.6
2024-03-23,00:21,/nosotros,208,142,542,46.1
2024-03-23,05:30,/home,59,83,444,33.5
2024-03-23,07:55,/galeria,188,459,441,34.4
2024-03-23,21:19,/galeria,97,319,570,32.1
2024-03-24,17:39,/blog,420,569,307,30.4
2024-03-24,22:15,/blog,43,54,505,33.6
2024-03-25,13:55,/faq,282,213,453,56.3
2024-03-25,17:46,/testimonios,21,244,398,43.2
2024-03-26,02:24,/testimonios,495,111,326,23.3
2024-03-26,03:44,/precios,449,37,273,32.0
2024-03-26,14:56,/testimonios,172,467,566,20.1
2024-03-27,01:50,/servicios,75,179,223,23.2
2024-03-27,18:42,/servicios,276,415,509,49.6
2024-03-27,18:47,/faq,416,31,370,41.1
2024-03-28,13:05,/home,224,149,281,61.8
2024-03-28,16:24,/galeria,226,499,233,75.4
2024-03-28,19:43,/blog,322,179,243,26.0
2024-03-29,06:57,/blog,398,304,511,72.1
2024-03-29,10:48,/testimonios,63,282,183,58.8
2024-03-29,15:29,/testimonios,26,78,225,77.1
2024-03-29,16:06,/home,241,356,281,52.3
2024-03-29,18:30,/faq,81,37,459,50.6
2024-03-30,19:41,/precios,239,588,294,21.4
2024-03-30,21:06,/productos,241,126,294,24.6
2024-03-30,23:14,/home,151,415,253,63.5
